中央组淋巴结清扫,其它,治疗,病症,甲状腺恶性肿瘤
免疫检查点抑制剂,其它,治疗,其它,恶性肿瘤
内分泌异常,其它,包含,其它,甲状腺功能亢进
内分泌异常,其它,包含,其它,综合征
内分泌异常,其它,特征,其它,皮肤牛奶咖啡斑
胃泌素释放肽前体,其它,治疗,病名,甲状腺髓样癌
经口腔前庭入路机器人甲状腺手术,其它,治疗,其它,甲状腺结节
经胸经口联合入路腔镜甲状腺癌颈侧区淋巴清扫手术,其它,治疗,其它,甲状腺乳头状癌
转胶蛋白,其它,治疗,其它,甲状腺乳头状癌
头颈肿瘤,其它,包含,其它,鼻咽癌
头颈肿瘤,其它,包含,其它,喉癌
头颈肿瘤,其它,包含,其它,头颈鳞状细胞癌
头颈肿瘤,其它,包含,其它,甲状腺癌
安罗替尼,其它,治疗,其它,转移性肾细胞癌
安罗替尼,其它,治疗,其它,晚期肾细胞癌
安罗替尼,其它,治疗,其它,安罗替尼
体质指数高,其它,危险因素,其它,甲状腺结节
甲状腺素结节,其它,危险因素,其它,体质指数高
尿素氮,其它,危险因素,其它,癌胚抗原，水平的升高
甲状腺素结节,其它,危险因素,其它,尿素氮
促甲状腺激素,其它,危险因素,其它,甲状腺结节
甲状腺素结节,其它,危险因素,其它,促甲状腺激素
甲状腺素结节,其它,危险因素,其它,甲状腺激素
甲状腺素结节,其它,危险因素,其它,尿素氮
甲状腺素结节,其它,危险因素,其它,癌胚抗原
生物轴,其它,治疗,其它,甲状腺乳头状癌
甲状腺癌,其它,治疗,其它,生物轴
良恶性肿瘤,其它,包含,其它,多发结节性甲状腺肿
良恶性肿瘤,其它,包含,其它,胸膜肺母细胞瘤
良恶性肿瘤,其它,包含,其它,囊性肾瘤
良恶性肿瘤,其它,包含,其它,卵巢细胞瘤
良恶性肿瘤,其它,包含,其它,睫状体髓质上皮瘤
良恶性肿瘤,其它,包含,其它,分化型甲状腺癌
促甲状腺激素,其它,治疗,其它,甲状腺功能亢进症甲亢
恶性肿瘤,其它,包含,其它,甲状腺乳头状癌
甲状腺微小乳头状癌,病症,治疗,治疗方案,手术治疗
糖皮质激素,其它,治疗,其它,转移性恶性黑色素瘤
超声影像学检查,其它,诊断,其它,甲状腺病变
实时剪切波弹性成像技术,其它,治疗,其它,甲状腺病变
甲状腺结节患者,其它,包含,其它,对照组
甲状腺结节患者,其它,包含,其它,研究组
甲状腺结节患者,其它,治疗,治疗方案,甲状腺叶切除术
甲状腺乳头状癌,其它,包含,其它,甲状腺癌
甲状腺激素水平紊乱,其它,特征,其它,肌张力低下
甲状腺乳头状癌,其它,治疗,其它,传统开放手术
促甲状腺素,其它,治疗,其它,分化型甲状腺癌
甲状腺细针穿刺细胞学,其它,诊断,其它,甲状腺结节
腔镜甲状腺切除术,治疗方案,治疗,其它,甲状腺癌
术中快速冰冻切片,其它,治疗,其它,甲状腺癌
术中快速冰冻切片,其它,治疗,其它,甲状腺癌
甲状腺乳头状癌,其它,危险因素,其它,多灶性结节
正分化型甲状腺癌,其它,诊断,诊断方案,超声检查
甲状腺恶，性肿瘤,其它,包含,其它,甲状腺乳头状癌
正分化型甲状腺癌,其它,包含,其它,甲状腺恶，性肿瘤
正分化型甲状腺癌,其它,包含,其它,甲状腺滤泡状癌
利多卡因行,其它,治疗,其它,甲状腺术后头痛
颈部遗传性肿瘤,其它,包含,其它,家族性头颈部副神经节瘤
颈部遗传性肿瘤,其它,包含,其它,多发性内分泌腺瘤
颈部遗传性肿瘤,其它,包含,其它,多发性内分泌腺瘤
颈部遗传性肿瘤,其它,包含,其它,家族性甲状旁腺功能亢进
颈部遗传性肿瘤,其它,包含,其它,家族性甲状腺乳头状癌
颈部遗传性肿瘤,其它,包含,其它,神经纤维瘤病型
颈部遗传性肿瘤,其它,包含,其它,神经纤维瘤病型
颈部遗传性肿瘤,其它,包含,其它,家族性鼻咽癌
颈部遗传性肿瘤,其它,包含,其它,家族性鳞状细胞癌
支撑喉镜下内瘘口化学烧灼加缝合封闭术,其它,治疗,其它,梨状隐窝瘘
支撑喉镜下内瘘口化学烧灼加黏膜缝合封闭术,其它,治疗,其它,全甲状腺切除术
甲状腺切除术,诊断方案,治疗,病名,甲状腺疾病
中央区淋巴结清扫术,其它,治疗,其它,甲状腺乳头状癌
甲状腺全切除,其它,治疗,其它,甲状腺乳头状癌
甲状腺功能亢进,其它,特征,其它,乏力
甲状腺功能亢进,其它,特征,其它,食量增加
甲状腺功能亢进,其它,特征,其它,四肢震颤
姜黄素,其它,治疗,其它,人乳头瘤状甲状腺癌
姜黄素,其它,治疗,其它,人乳头瘤状甲状腺癌
抗中性粒细胞胞浆抗体阳性小血管炎,其它,治疗,其它,他巴唑年
靶向药物治疗,治疗方案,治疗,其它,晚期肾癌
多发性内分泌腺瘤,其它,治疗,其它,双侧肾上腺嗜铬细胞瘤切除术
多发性内分泌腺瘤,其它,诊断,其它,影像学检查
甲状腺功能亢进症甲亢,其它,治疗,其它,甲巯咪唑口服
细胞包块并行分子标志物检测,其它,诊断,其它,甲状腺乳头状癌
甲状腺肿瘤,病症,包含,其它,对照组
甲状腺肿瘤,病症,包含,其它,试验组
术中冰冻切片检查,诊断方案,诊断,其它,单侧甲状腺乳头状癌
–甲氧基异丁基异腈–,其它,治疗,其它,原发性甲状旁腺功能亢进
微创喉内镜甲状腺手术,其它,特征,其它,创伤小
微创喉内镜甲状腺手术,其它,特征,其它,术后恢复快
甲状腺功能减退,病症,包含,病症,亚临床甲状腺功能减退
头颈部恶性肿瘤,其它,包含,其它,正甲状腺癌
甲状腺癌,其它,包含,其它,正甲状腺癌
内分泌恶性肿瘤,其它,包含,其它,分化型甲状腺癌
甲状腺癌,其它,包含,其它,内分泌恶性肿瘤
甲状腺癌,其它,特征,其它,无痛性甲状腺结节
甲状腺癌,其它,包含,其它,未分化型甲状腺癌
甲状腺癌,其它,包含,病名,甲状腺髓样癌
难治性抑郁症,其它,特征,其它,起病更早
甲状腺相关眼病,病症,治疗,其它,胸腔镜下右侧纵隔肿物切除术
内分泌功能异常,其它,包含,其它,卡波西肉瘤
甲状腺髓样癌,病名,治疗,其它,嗜铬细胞瘤
甲状腺癌,其它,治疗,其它,根治性切除
低钙性搐搦,其它,包含,其它,紫绀
异体巩膜移植延长上睑提肌矫正,其它,治疗,其它,甲状腺相关眼病上睑退缩并内翻
异体巩膜移植延长上睑提肌,其它,治疗,其它,甲状腺相关眼病上睑退缩并内翻
利拉鲁肽治疗,其它,治疗,其它,血糖控制欠佳
α硫辛酸联合依帕司他,其它,治疗,其它,型糖尿病
甲钴胺,其它,治疗,其它,糖尿病神经源性膀胱
甲状腺癌,其它,包含,其它,亚临床甲状腺癌
甲状腺癌,其它,包含,病名,乳头状癌
甲状腺癌,其它,包含,其它,滤泡癌
甲状腺癌,其它,包含,其它,低分化癌
甲状腺癌,其它,包含,其它,未分化间变性癌
甲状腺癌,其它,包含,病名,髓样癌
甲状旁腺原位保留,其它,治疗,其它,全甲状腺切除术
甲状旁腺原位保留,其它,治疗,其它,全甲状腺切除术
甲状旁腺损伤,其它,包含,其它,甲状旁腺损伤
甲状旁腺损伤,其它,治疗,其它,双侧甲状腺全切
甲状腺功能异常,其它,治疗,其它,颈部淋巴结阴性期甲状腺乳头状癌侧颈淋巴结转移
中央区淋巴结清扫术,其它,治疗,其它,甲状腺乳头状癌侧颈淋巴结转移
患侧甲状腺，峡部切除及对侧甲状腺腺叶次全切术中央区淋巴结清扫术,其它,治疗,其它,颈侧淋巴结阴性甲状腺乳头状微小癌
颈椎综合征,其它,特征,其它,颈椎间盘退行性病变
颅咽管瘤,其它,治疗,诊断方案,优甲乐
颅咽管瘤,其它,治疗,其它,强的松
舒尼替尼,其它,治疗,其它,晚期肾癌
舒尼替尼,其它,治疗,其它,转移性肾透明细胞癌
甲状腺未分化癌细胞,其它,治疗,其它,多激酶抑制剂索拉非尼单药
索拉非尼,其它,治疗,其它,索拉非尼
二甲双胍,其它,治疗,病名,甲状腺未分化癌
代谢综合征,其它,并发,病症,甲状腺功能减退症
代谢综合征,其它,特征,其它,甲状腺激素水平降低
代谢综合征,其它,危险因素,其它,血尿酸水平升高
代谢综合征,其它,危险因素,其它,胰岛素抵抗
核素骨显像,其它,治疗,其它,分化型甲状腺癌骨转移
正甲状腺癌,其它,包含,其它,内分泌恶性肿瘤
甲状腺癌,其它,危险因素,病症,淋巴结转移
甲状腺相关眼病,病症,包含,病名,自身免疫性疾病
甲状腺相关眼病,病症,特征,其它,眼球突出
甲状腺相关眼病,病症,特征,其它,眼睑退缩
甲状腺相关眼病,病症,特征,其它,复视
中央区淋巴结清扫,其它,治疗,其它,颈淋巴结阴性甲状腺微小癌
细针穿刺细胞学检查,其它,诊断,其它,甲状腺结节
经口入路腔镜,其它,治疗,病名,甲状腺疾病
维甲酸,其它,治疗,其它,甲状腺癌
维甲酸,其它,治疗,其它,甲状腺癌
超声检查,诊断方案,诊断,其它,甲状腺结节
核素显像联合超声检查,其它,诊断,其它,甲状腺结节
正席汉综合征,其它,特征,其它,无菌性炎症
腔镜下经胸乳入路甲状腺切除术,其它,治疗,其它,甲状腺乳头状癌
地塞米松,其它,治疗,其它,甲状腺功能亢进甲亢
甲状腺乳头状癌,其它,治疗,其它,地塞米松
甲亢手术,其它,治疗,其它,地塞米松
改良甲状腺次全切除术,其它,治疗,其它,甲状腺功能亢进症甲亢
边切边缝法,其它,治疗,其它,良性甲状腺肿块
原发性甲状旁腺功能亢进症,其它,特征,其它,慢性骨病
原发性甲状旁腺功能亢进症,其它,特征,其它,泌尿系结石
原发性甲状旁腺功能亢进症,其它,特征,其它,消化性溃疡
原发性甲状旁腺功能亢进症,其它,诊断,其它,血钙检查
脑梗死心源性脑栓塞,其它,特征,其它,大小便失禁
腹腔镜下乳晕入路手术切除,其它,治疗,其它,例甲状腺肿瘤
内镜手术,治疗方案,治疗,其它,甲状腺疾患
甲状腺功能亢进甲亢,其它,特征,其它,体重下降
经腔镜下甲状腺大部分切除术,其它,治疗,病症,甲亢
甲状腺素,其它,治疗,其它,腹腔注射左旋甲状腺素
细针穿刺活检,其它,诊断,其它,甲状腺结节标本
甲状腺功能,其它,包含,其它,甲状腺功能减低甲减组
甲状腺功能,其它,包含,其它,亚临床甲状腺功能减低亚甲减组
甲状腺恶性肿瘤,病症,包含,其它,分化型甲状腺癌
功能性颈清术,其它,治疗,其它,分化型甲状腺癌
血管内皮生长因子,其它,治疗,病症,甲状腺肿
重组人生长激素,其它,治疗,其它,垂体性侏儒症
自家免疫性甲状腺炎,其它,包含,病症,甲状腺肿
甲亢合并肌病,其它,特征,其它,弥漫性甲亢伴发肌肉病变
先天性甲状腺功能减低,其它,别名,其它,甲低
正粘液水肿心脏病,其它,治疗,其它,甲状腺素
甲状腺恶性肿瘤,病症,包含,其它,甲状腺乳头状癌
双侧甲状腺大部切除术,其它,治疗,其它,多发性甲状腺腺瘤
